MSOA21CD/E02000813	Canada Water
MSOA21CD/E02000815	Elephant & Castle
MSOA21CD/E02000826	Camberwell North
MSOA21CD/E02000827	Camberwell Green
MSOA21CD/E02000830	Camberwell South
MSOA21CD/E02000854	Carshalton Village
MSOA21CD/E02000855	Cheam High Street
MSOA21CD/E02000859	Carshalton on the Hill
MSOA21CD/E02000861	Carshalton Beeches & Banstead Road
MSOA21CD/E02000863	Orchard Hill, Woodcote Green & Clockhouse
MSOA21CD/E02000869	Columbia Road
MSOA21CD/E02000895	Chingford Green West
MSOA21CD/E02000896	Chingford Green East
MSOA21CD/E02000899	Chingford Mount
MSOA21CD/E02000926	St Mary's & Cotton Row
MSOA21CD/E02000931	Clapham Common West
MSOA21CD/E02000934	Clapham Junction & East Hill
MSOA21CD/E02000968	Church Street
MSOA21CD/E02000979	Central Westminster
MSOA21CD/E02000999	Central Bolton
MSOA21CD/E02001047	Charlestown
MSOA21CD/E02001048	Crumpsall North & Heaton Park
MSOA21CD/E02001052	Crumpsall South
MSOA21CD/E02001056	Clayton Vale
MSOA21CD/E02001073	Chorlton North
MSOA21CD/E02001077	Chorlton South
MSOA21CD/E02001081	Beech Road & Chorlton Meadows
MSOA21CD/E02001098	Shaw & Crompton
MSOA21CD/E02001100	Clough & Shaw Side
MSOA21CD/E02001102	Royton East & Cowlishaw
MSOA21CD/E02001107	Chadderton North
MSOA21CD/E02001114	Chadderton Central
MSOA21CD/E02001124	Chadderton South East
MSOA21CD/E02001125	Chadderton South West
MSOA21CD/E02001132	Littleborough North & Calderbook
MSOA21CD/E02001141	Central Rochdale & Mandale Park
MSOA21CD/E02001148	Castleton & Trub
MSOA21CD/E02001161	Clifton
MSOA21CD/E02001164	Clifton Green & Pendlebury East
MSOA21CD/E02001173	Cromwell Road & Broad Street
MSOA21CD/E02001186	Lower Irlam & Cadishead
MSOA21CD/E02001189	Central Reddish
MSOA21CD/E02001196	Romiley & Compstall
MSOA21CD/E02001200	Central Stockport, Portwood & Shaw Heath
MSOA21CD/E02001204	Cheadle Heath
MSOA21CD/E02001208	Cheadle East
MSOA21CD/E02001214	Gatley South & Cheadle West
MSOA21CD/E02001216	Cheadle Hulme Orrishmere
MSOA21CD/E02001220	Cheadle Hulme West
MSOA21CD/E02001225	Cheadle Hulme South East
MSOA21CD/E02001231	Carrbrook & Micklehurst
MSOA21CD/E02001258	Cheetham Fold & Gee Cross
MSOA21CD/E02001340	Court Hey & Swanside
MSOA21CD/E02001343	Halsnead, Cronton & Halewood East
MSOA21CD/E02001350	Croxteth West & Gillmoss
MSOA21CD/E02001353	Croxteth East
MSOA21CD/E02001359	Croxteth Park
MSOA21CD/E02001382	Childwall East
MSOA21CD/E02001383	Chinatown, St James & Georgian Quarter
MSOA21CD/E02001387	Childwall West & Wavertree Green
MSOA21CD/E02001393	Calderstones
MSOA21CD/E02001427	Bold & Clock Face
MSOA21CD/E02001429	Crossens
MSOA21CD/E02001453	Crosby East
MSOA21CD/E02001456	Brighton le Sands & Crosby West
MSOA21CD/E02001481	Claughton North
MSOA21CD/E02001486	Claughton South & Oxton North
MSOA21CD/E02001494	Caldy & Newton
MSOA21CD/E02001510	Royston East & Carlton
MSOA21CD/E02001516	Cudworth Village
MSOA21CD/E02001524	Silkstone, Hoylandswaine & Cawthorne
MSOA21CD/E02001540	Askern, Campsall & Norton
MSOA21CD/E02001543	Carcroft
MSOA21CD/E02001554	Cusworth
MSOA21CD/E02001558	Cadeby, Hickleton & Hampole
MSOA21CD/E02001560	Central Doncaster & Hyde Park
MSOA21CD/E02001562	Cantley Park
MSOA21CD/E02001570	Conisbrough North
MSOA21CD/E02001573	Conisbrough South
MSOA21CD/E02001604	Catcliffe, Treeton & Waverley
MSOA21CD/E02001614	Chapeltown
MSOA21CD/E02001628	Tinsley & Carbrook
MSOA21CD/E02001630	Crabtree & Fir Vale
MSOA21CD/E02001639	Crookes
MSOA21CD/E02001643	Sandygate & Crosspool
