MSOA21CD/E02000165	Biggin Hill West
MSOA21CD/E02000176	Belsize Park
MSOA21CD/E02000191	Fitzrovia East & Bloomsbury West
MSOA21CD/E02000193	Holborn, St Giles & Bloomsbury South
MSOA21CD/E02000212	Broad Green & Waddon Marsh
MSOA21CD/E02000242	Bilton Road
MSOA21CD/E02000259	Brent Valley
MSOA21CD/E02000271	Bedford Park
MSOA21CD/E02000277	Bullsmoor & Freezywater
MSOA21CD/E02000283	Brimsdown Avenue
MSOA21CD/E02000290	Brimsdown & Ponders End
MSOA21CD/E02000291	Enfield Town South & Bush Hill Park
MSOA21CD/E02000297	Bury Street West & Village Road
MSOA21CD/E02000311	Bowes
MSOA21CD/E02000312	Broomfield Park
MSOA21CD/E02000333	Blackheath Standard & Village
MSOA21CD/E02000351	Brownswood
MSOA21CD/E02000380	Brackenbury
MSOA21CD/E02000381	Brook Green
MSOA21CD/E02000385	Barons Court
MSOA21CD/E02000397	Bowes Park
MSOA21CD/E02000400	Bounds Green
MSOA21CD/E02000407	Bruce Grove North
MSOA21CD/E02000409	Lordship Lane & Broadwater Farm
MSOA21CD/E02000414	Bruce Grove South
MSOA21CD/E02000440	Belmont
MSOA21CD/E02000508	Uxbridge Central & Brunel
MSOA21CD/E02000531	Brentford Central
MSOA21CD/E02000534	Brentford West & Osterley Park
MSOA21CD/E02000548	Bedfont
MSOA21CD/E02000570	Barnsbury East
MSOA21CD/E02000572	Barnsbury West
MSOA21CD/E02000590	Brompton
MSOA21CD/E02000607	Berrylands North
MSOA21CD/E02000611	Berrylands South
MSOA21CD/E02000628	Brixton North
MSOA21CD/E02000633	Brixton Central
MSOA21CD/E02000635	Poets' Corner & Brockwell Park
MSOA21CD/E02000637	Brixton Hill East
MSOA21CD/E02000638	Brixton Hill West
MSOA21CD/E02000659	Blackheath West
MSOA21CD/E02000660	Brockley East & St Johns
MSOA21CD/E02000661	Blackheath Village
MSOA21CD/E02000662	Brockley West
MSOA21CD/E02000681	Bellingham & Perry Hill
MSOA21CD/E02000686	Beckenham Hill
MSOA21CD/E02000745	Beckton North
MSOA21CD/E02000746	Beckton
MSOA21CD/E02000747	Canning Town South & Bow Creek
MSOA21CD/E02000748	Beckton Park
MSOA21CD/E02000760	Barkingside North
MSOA21CD/E02000762	Barkingside West
MSOA21CD/E02000765	Barkingside East
MSOA21CD/E02000808	Borough & Southwark Street
MSOA21CD/E02000810	Bermondsey East
MSOA21CD/E02000812	London Bridge & Bermondsey West
MSOA21CD/E02000821	Burgess Park
MSOA21CD/E02000823	Burgess Park West & John Ruskin Street
MSOA21CD/E02000850	Beddington
MSOA21CD/E02000861	Carshalton Beeches & Banstead Road
MSOA21CD/E02000864	Bow North & Fish Island
MSOA21CD/E02000865	Bethnal Green North East
MSOA21CD/E02000866	Bow West
MSOA21CD/E02000867	Bow South
MSOA21CD/E02000868	Bethnal Green North West
MSOA21CD/E02000870	Bethnal Green East
MSOA21CD/E02000871	Bromley-by-Bow East
MSOA21CD/E02000872	Brick Lane North
MSOA21CD/E02000874	Bethnal Green Central
MSOA21CD/E02000875	Bromley-by-Bow West
MSOA21CD/E02000876	Bethnal Green South
MSOA21CD/E02000877	Mile End East & Burdett Estate
MSOA21CD/E02000908	Blackhorse Road
MSOA21CD/E02000914	Baker's Arms
MSOA21CD/E02000923	Battersea Park
MSOA21CD/E02000925	Battersea Latchmere
MSOA21CD/E02000943	Balham
MSOA21CD/E02000971	Bryanston & Dorset Square
MSOA21CD/E02000975	Bayswater East
MSOA21CD/E02000978	Knightsbridge, Belgravia & Hyde Park
MSOA21CD/E02000985	Bromley Cross & Bradshaw
MSOA21CD/E02000992	Blackrod & Butterwick Fields
MSOA21CD/E02000994	Halliwell & Brownlow Fold
MSOA21CD/E02000996	Breightmet North
MSOA21CD/E02001002	Breightmet South & Darcy Lever
MSOA21CD/E02001005	Burnden & Great Lever
MSOA21CD/E02001029	Buckley Wells & Fishpool
MSOA21CD/E02001030	Ainsworth & Bradley Fold
MSOA21CD/E02001032	Black Lane
MSOA21CD/E02001033	Bank Top & Radcliffe Ees
MSOA21CD/E02001039	Besses
MSOA21CD/E02001045	Boothroyden & Higher Blackley
MSOA21CD/E02001046	Blackley
MSOA21CD/E02001059	Beswick, Eastlands & Openshaw Park
MSOA21CD/E02001064	Belle Vue & West Gorton
MSOA21CD/E02001078	Levenshulme South & Burnage North
MSOA21CD/E02001081	Beech Road & Chorlton Meadows
MSOA21CD/E02001085	Burnage South
MSOA21CD/E02001086	Merseybank & Barlow Moor
MSOA21CD/E02001091	Baguley West & Brooklands
MSOA21CD/E02001092	Baguley East & Wythenshawe Park
MSOA21CD/E02001093	Benchill North & Sharston
MSOA21CD/E02001094	Benchill South & Wythenshawe Central
MSOA21CD/E02001113	Busk
