LAD21CD/E07000077	Uttlesford
WD21CD/E05009350	Upton
WD21CD/E05009615	University & Scotforth Rural
WD21CD/E05009616	Upper Lune Valley
WD21CD/E05010134	Ermington & Ugborough
WD21CD/E05010262	Upper Wensum
WD21CD/E05010695	Underwood
WD21CD/E05011008	Upper Meon Valley
WD21CD/E05011467	Crystal Palace & Upper Norwood
WD21CD/E05011505	Ulverston East
WD21CD/E05011506	Ulverston West
WD21CD/E05011544	University
WD21CD/E05011582	Upperton
WD21CD/E05011613	Brede & Udimore
WD21CD/E05011660	Uckfield East
WD21CD/E05011661	Uckfield New Town
WD21CD/E05011662	Uckfield North
WD21CD/E05011663	Uckfield Ridgewood & Little Horsted
WD21CD/E05011664	Upper Willingdon
WD21CD/E05011774	Upper Weald
WD21CD/E05011813	Bramber, Upper Beeding & Woodmancote
WD21CD/E05011982	Ullesthorpe
WD21CD/E05012062	Unstone
WD21CD/E05012242	Upton
WD21CD/E05012351	Upwell & Delph
WD21CD/E05012360	Hawes, High Abbotside & Upper Swaledale
WD21CD/E05012645	Uppingham
WD21CD/E05012703	Hill Forts & Upper Tarrants
WD21CD/E05012706	Lytchett Matravers & Upton
WD21CD/E05012723	Upwey & Broadwey
WD21CD/E05012912	University
WD21CD/E05012944	Currock & Upperby
WD21CD/E05013078	Basing & Upton Grey
WD21CD/E05013484	Urchfont & Bishops Cannings
WD21CD/E05013494	Winterslow & Upper Bourne Valley
WD21CD/N08000356	Upper Malone
WD21CD/N08000438	University
WD21CD/S13002821	Broxburn, Uphall and Winchburgh
WD21CD/S13002862	Aboyne, Upper Deeside and Donside
WD21CD/S13002944	Upper Braes
WD21CD/W05000148	Uwch Conwy
WD21CD/W05000149	Uwchaled
WD21CD/W05000548	Uplands
WD21CD/W05000830	Usk
WD21CD/W05000980	Upper Loughor
WD21CD/W05001001	Upper Cwmbran
