LAD21CD/E06000005	Darlington
LAD21CD/E06000015	Derby
LAD21CD/E06000059	Dorset
LAD21CD/E07000035	Derbyshire Dales
LAD21CD/E07000096	Dacorum
LAD21CD/E07000107	Dartford
LAD21CD/E07000108	Dover
LAD21CD/E08000017	Doncaster
LAD21CD/E08000027	Dudley
LAD21CD/N09000005	Derry City and Strabane
LAD21CD/S12000006	Dumfries and Galloway
LAD21CD/S12000042	Dundee City
LAD21CD/W06000004	Denbighshire
MSOA21CD/E02000010	Dagenham North
MSOA21CD/E02000011	Dagenham Eastbrook
MSOA21CD/E02000014	Dagenham Central
MSOA21CD/E02000021	Rylands Estate & Dagenham Dock
MSOA21CD/E02000027	Ducks Island & Underhill
MSOA21CD/E02000048	Copthall & Downage
MSOA21CD/E02000084	Danson Park
MSOA21CD/E02000103	Dollis Hill
MSOA21CD/E02000110	Dudden Hill
MSOA21CD/E02000255	Drayton Green & Cleveland
MSOA21CD/E02000364	Dalston East
MSOA21CD/E02000415	Downhills Park
MSOA21CD/E02000464	Dagnam Park & Noak Hill
MSOA21CD/E02000465	Petersfield Avenue & Duck Wood
MSOA21CD/E02000494	Ducks Hill
MSOA21CD/E02000654	Deptford North
MSOA21CD/E02000689	Wimbledon Park & Durnsford Road
MSOA21CD/E02000837	Herne Hill & Dulwich Park
MSOA21CD/E02000838	Dulwich Hill
MSOA21CD/E02000971	Bryanston & Dorset Square
MSOA21CD/E02000984	Dunscar & Egerton
MSOA21CD/E02000995	Doffcocker & Moss Bank
MSOA21CD/E02001001	Heaton & Deane
MSOA21CD/E02001002	Breightmet South & Darcy Lever
MSOA21CD/E02001009	Daubhill & Fernhill Gate
MSOA21CD/E02001087	Didsbury Village
MSOA21CD/E02001103	Diggle, Delph & Denshaw
MSOA21CD/E02001108	Derker
MSOA21CD/E02001110	New Delph, Dobcross & Austerlands
MSOA21CD/E02001146	Deeplish
MSOA21CD/E02001150	Heywood Heap Bridge & Darnhill
MSOA21CD/E02001209	Davenport
MSOA21CD/E02001238	Droylsden East
MSOA21CD/E02001239	Droylsden Central
MSOA21CD/E02001240	Droylsden West
MSOA21CD/E02001244	Dukinfield East & Hough Hill
MSOA21CD/E02001245	Dukinfield West
MSOA21CD/E02001249	Denton North
MSOA21CD/E02001252	Dane Bank
MSOA21CD/E02001253	Denton West
MSOA21CD/E02001254	Denton East
MSOA21CD/E02001257	Denton South
MSOA21CD/E02001263	Davyhulme
MSOA21CD/E02001283	Altrincham West, Dunham & Warburton
MSOA21CD/E02001372	Dovecot
MSOA21CD/E02001396	Dingle
MSOA21CD/E02001412	Windle & Denton's Green
MSOA21CD/E02001422	Derbyshire Hill
MSOA21CD/E02001513	Darton & Kexborough
MSOA21CD/E02001527	Dodworth
MSOA21CD/E02001528	Darfield & Great Houghton
MSOA21CD/E02001535	Ingbirchworth, Dunford Bridge & Thurgoland
MSOA21CD/E02001606	Dinnington
MSOA21CD/E02001612	Deepcar & Bolsterstone
MSOA21CD/E02001637	Darnall
MSOA21CD/E02001678	Dore & Whirlow
MSOA21CD/E02001688	Dunston & Teams
MSOA21CD/E02001692	Mount Pleasant & Deckham East
MSOA21CD/E02001694	Dunston Hill
MSOA21CD/E02001722	Denton
MSOA21CD/E02001803	Sunderland Central & Deptford
