Uaboe	Uaboe	8437548	6	330	-0.51393	166.92384
Uayma	Uayma, Yucatan	5961577	6	3126	20.71781	-88.31693
Uayma	Uayma, Yucatan	6419765	8	3126	20.71781	-88.31693
